"group","series","occupation","median_wage","net_change","current_jobs","SOC","annualized_change","job_change_note"
"Transportation and Material Moving","None","Aircraft Cargo Handling Supervisors",67299.18,-10,270,"53-1041",-0.376692,"-0.38% (-10 jobs)"
"Transportation and Material Moving","None","FirstLine Supervisors of Transportation & Material Moving Workers, Exc Aircraft Cargo Handling Supervisor",68923.73,860,10570,"53-1047",0.785284,"0.79% (+860 more jobs)"
"Transportation and Material Moving","Moderate-term on-the-job training","Flight Attendants",131160.77,-40,7650,"53-2031",-0.052411,"-0.05% (-40 jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Driver/Sales Workers",45977.15,1910,10650,"53-3031",1.663253,"1.66% (+1910 more jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Light Truck Drivers",48802.2,1620,22620,"53-3033",0.694095,"0.69% (+1620 more jobs)"
"Transportation and Material Moving","Moderate-term on-the-job training","Bus Drivers, Transit and Intercity",84427.68,2790,13850,"53-3052",1.852186,"1.85% (+2790 more jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Motor Vehicle Operators, All Other",43383.6,90,760,"53-3099",1.125465,"1.13% (+90 more jobs)"
"Transportation and Material Moving","Moderate-term on-the-job training","Sailors and Marine Oilers",62579.16,110,1180,"53-5011",0.895262,"0.9% (+110 more jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Parking Attendants",35814.98,1540,8960,"53-6021",1.598695,"1.6% (+1540 more jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Automotive and Watercraft Service Attendants",38750.65,-50,950,"53-6031",-0.539213,"-0.54% (-50 jobs)"
"Transportation and Material Moving","Moderate-term on-the-job training","Traffic Technicians",82006.21,190,930,"53-6041",1.876381,"1.88% (+190 more jobs)"
"Transportation and Material Moving","Moderate-term on-the-job training","Transportation Inspectors",93365.8,900,4540,"53-6051",1.824973,"1.82% (+900 more jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Passenger Attendants",41448.68,20,900,"53-6061",0.220031,"0.22% (+20 more jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Conveyor Operators and Tenders",44131.35,0,380,"53-7011",0,"0% (No change in job number)"
"Transportation and Material Moving","Moderate-term on-the-job training","Crane and Tower Operators",87418.66,10,290,"53-7021",0.339591,"0.34% (+10 more jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Industrial Truck and Tractor Operators",54186.99,-190,5990,"53-7051",-0.321816,"-0.32% (-190 jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Cleaners of Vehicles and Equipment",45313.4,1420,9450,"53-7061",1.409764,"1.41% (+1420 more jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Laborers and Freight, Stock, and Material Movers, Hand",46331.56,1520,44850,"53-7062",0.333847,"0.33% (+1520 more jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Packers and Packagers, Hand",37016.49,-150,7190,"53-7064",-0.210608,"-0.21% (-150 jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Stockers and Order Fillers",39941.92,-120,43780,"53-7065",-0.027444,"-0.03% (-120 jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Refuse and Recyclable Material Collectors",85628.17,770,5470,"53-7081",1.325727,"1.33% (+770 more jobs)"
"Transportation and Material Moving","Short-term on-the-job training","Material Moving Workers, All Other",61318.23,40,760,"53-7199",0.514251,"0.51% (+40 more jobs)"
